Use,RND,Rating2.0,ACS,K:D,ADR,KAST,KPR,APR,FKPR,FDPR,K,D,A,FK,FD,Agent,Player
(3) 16%,66,,280.0,1.6,,,1.02,0.26,,,67,42,17,0,0,sage,spring
(3) 16%,64,,216.3,0.94,,,0.72,0.22,,,46,49,14,0,0,viper,spring
(3) 16%,62,0.92,186.3,0.91,123.6,63%,0.66,0.15,0.11,0.1,41,45,9,7,6,veto,spring
(2) 11%,42,,208.5,1.19,,,0.74,0.62,,,31,26,26,0,0,astra,spring
(1) 5%,17,,199.0,0.86,,,0.71,0.29,,,12,14,5,0,0,neon,spring
(8) 89%,165,,212.1,1.2,,,0.76,0.38,,,125,104,63,0,0,omen,obone
(1) 11%,20,,155.0,0.67,,,0.5,0.4,,,10,15,8,0,0,brimstone,obone
(5) 36%,107,,205.8,1.05,,,0.74,0.28,,,79,75,30,0,0,cypher,ezeir
(4) 29%,78,,204.5,1.02,,,0.67,0.33,,,52,51,26,0,0,viper,ezeir
(4) 29%,67,,236.8,1.19,,,0.84,0.4,,,56,47,27,0,0,omen,ezeir
(1) 7%,22,,236.0,1.58,,,0.86,0.64,,,19,12,14,0,0,astra,ezeir
(7) 54%,153,,196.3,1.05,,,0.71,0.22,,,108,103,34,0,0,yoru,green
(2) 15%,46,,177.0,0.71,,,0.59,0.11,,,27,38,5,0,0,waylay,green
(2) 15%,34,,262.5,1.38,,,0.97,0.35,,,33,24,12,0,0,raze,green
(1) 8%,24,,226.0,1.19,,,0.79,0.42,,,19,16,10,0,0,kayo,green
(1) 8%,20,,102.0,0.39,,,0.35,0.15,,,7,18,3,0,0,sage,green
(6) 67%,125,,142.7,0.75,,,0.49,0.3,,,61,81,37,0,0,fade,heybay
(2) 22%,34,,276.5,2.13,,,1.0,0.79,,,34,16,27,0,0,skye,heybay
(1) 11%,26,,131.0,0.68,,,0.5,0.04,,,13,19,1,0,0,sova,heybay
(6) 43%,124,,197.7,0.9,,,0.71,0.2,,,88,98,25,0,0,neon,guang
(4) 29%,78,,233.3,1.18,,,0.83,0.13,,,65,55,10,0,0,waylay,guang
(2) 14%,34,,191.0,1.39,,,0.74,0.35,,,25,18,12,0,0,vyse,guang
(1) 7%,22,,190.0,1.08,,,0.64,0.14,,,14,13,3,0,0,cypher,guang
(1) 7%,16,,314.0,1.9,,,1.19,0.31,,,19,10,5,0,0,killjoy,guang
(12) 86%,264,,189.1,0.95,,,0.67,0.33,,,177,186,86,0,0,omen,haodong
(2) 14%,40,,186.5,0.81,,,0.63,0.35,,,25,31,14,0,0,brimstone,haodong
(8) 57%,179,,250.8,1.27,,,0.88,0.26,,,157,124,46,0,0,sova,lucas
(4) 29%,85,,231.3,1.25,,,0.88,0.25,,,75,60,21,0,0,fade,lucas
(2) 14%,40,,185.0,0.93,,,0.65,0.1,,,26,28,4,0,0,tejo,lucas
(6) 43%,131,,208.5,1.07,,,0.72,0.11,,,94,88,15,0,0,killjoy,abo
(4) 29%,87,,134.5,0.54,,,0.41,0.23,,,36,67,20,0,0,deadlock,abo
(3) 21%,69,,191.7,0.81,,,0.64,0.3,,,44,54,21,0,0,vyse,abo
(1) 7%,17,,254.0,1.25,,,0.88,0.06,,,15,12,1,0,0,viper,abo
(12) 86%,264,,196.8,1.02,,,0.71,0.22,,,187,183,57,0,0,viper,coco
(2) 14%,40,,166.0,1.13,,,0.65,0.2,,,26,23,8,0,0,fade,coco
