Map (#),WIN%,W,L,ATK 1st,DEF 1st,ATK RWin%,RW,RL,DEF RWin%,RW.1,RL.1,Team
Sunset (10),30%,3,7,5,5,38%,38,62,47%,48,55,FURIA
Abyss (5),40%,2,3,1,4,48%,24,26,48%,29,31,FURIA
Bind (27),48%,13,14,13,14,53%,159,140,45%,133,161,MIBR
Haven (32),50%,16,16,21,11,51%,177,169,51%,151,145,MIBR
Split (26),54%,14,12,18,8,51%,146,139,50%,136,136,MIBR
Ascent (31),39%,12,19,17,14,44%,145,186,51%,161,153,MIBR
Icebox (31),61%,19,12,19,12,54%,178,153,55%,171,142,MIBR
Breeze (9),44%,4,5,8,1,41%,46,65,54%,51,44,MIBR
Fracture (15),47%,7,8,10,5,51%,87,82,49%,74,76,MIBR
Pearl (13),46%,6,7,7,6,54%,87,75,42%,65,90,MIBR
Lotus (24),38%,9,15,12,12,44%,117,147,45%,107,130,MIBR
Sunset (12),42%,5,7,6,6,43%,52,68,50%,64,65,MIBR
Abyss (10),70%,7,3,5,5,65%,72,39,43%,49,64,MIBR
Bind (95),64%,61,34,51,34,55%,487,397,54%,445,380,Gen.G
Haven (138),67%,92,46,71,57,58%,778,572,53%,680,613,Gen.G
Split (66),55%,36,30,28,34,47%,315,356,58%,398,290,Gen.G
Ascent (134),60%,80,54,73,55,50%,652,652,56%,716,565,Gen.G
Icebox (55),53%,29,26,21,34,53%,284,252,47%,289,323,Gen.G
Breeze (41),66%,27,14,23,18,58%,245,177,55%,216,175,Gen.G
Fracture (25),56%,14,11,19,6,52%,151,138,45%,102,123,Gen.G
Pearl (16),50%,8,8,8,8,51%,82,80,56%,92,71,Gen.G
Lotus (47),60%,28,19,17,30,56%,259,203,53%,270,238,Gen.G
Sunset (19),47%,9,10,9,10,56%,111,87,45%,94,114,Gen.G
Abyss (8),50%,4,4,4,4,57%,52,39,43%,39,51,Gen.G
Bind (97),66%,64,33,44,53,57%,546,414,55%,550,458,Paper Rex
Haven (65),68%,44,21,24,41,58%,375,276,53%,379,339,Paper Rex
Split (102),67%,68,34,62,40,55%,604,504,59%,623,429,Paper Rex
Ascent (100),56%,56,44,37,63,53%,508,459,53%,584,514,Paper Rex
Icebox (87),71%,62,25,50,37,58%,534,390,57%,482,368,Paper Rex
Breeze (27),59%,16,11,19,8,55%,158,131,54%,136,116,Paper Rex
Fracture (33),76%,25,8,16,17,57%,186,140,59%,207,143,Paper Rex
Pearl (28),75%,21,7,20,8,60%,190,128,52%,147,134,Paper Rex
Lotus (58),64%,37,21,26,32,54%,332,288,53%,339,300,Paper Rex
Sunset (37),84%,31,6,19,18,61%,236,152,56%,215,170,Paper Rex
Abyss (6),50%,3,3,6,0,55%,41,34,50%,28,28,Paper Rex
Bind (47),57%,27,20,26,21,51%,256,243,54%,267,227,DRX
Haven (58),66%,38,20,37,21,59%,368,257,52%,292,268,DRX
Split (39),67%,26,13,19,20,54%,219,188,58%,244,180,DRX
Ascent (65),72%,47,18,48,17,53%,398,350,59%,381,269,DRX
Icebox (34),59%,20,14,25,9,61%,226,147,45%,140,170,DRX
Breeze (27),74%,20,7,21,6,66%,199,104,48%,116,124,DRX
Fracture (30),73%,22,8,18,12,57%,188,139,53%,162,142,DRX
Pearl (19),58%,11,8,8,11,52%,96,88,52%,93,85,DRX
Lotus (41),46%,19,22,23,18,53%,238,212,47%,206,232,DRX
Sunset (19),37%,7,12,13,6,44%,97,121,50%,103,104,DRX
Abyss (16),88%,14,2,5,11,62%,90,55,62%,108,65,DRX
Bind (24),58%,14,10,13,11,58%,132,94,51%,119,115,Team Secret
Haven (58),59%,34,24,23,35,57%,334,252,51%,315,298,Team Secret
Split (30),43%,13,17,12,18,46%,149,177,52%,163,153,Team Secret
Ascent (40),60%,24,16,14,25,51%,204,193,52%,218,200,Team Secret
Icebox (36),53%,19,17,11,24,51%,180,172,51%,205,198,Team Secret
Breeze (24),54%,13,11,11,12,55%,125,103,51%,127,124,Team Secret
Fracture (13),38%,5,8,5,7,47%,62,69,47%,60,69,Team Secret
Pearl (13),38%,5,8,7,6,39%,54,84,49%,66,69,Team Secret
Lotus (23),39%,9,14,18,5,52%,134,126,39%,86,133,Team Secret
Sunset (12),67%,8,4,5,7,49%,57,59,59%,73,51,Team Secret
Abyss (3),33%,1,2,1,2,50%,21,21,59%,20,14,Team Secret
Bind (20),65%,13,7,15,5,57%,128,95,54%,108,91,TALON
Haven (25),52%,13,12,14,11,53%,140,126,49%,138,141,TALON
Split (16),38%,6,10,11,5,45%,81,101,51%,76,73,TALON
Ascent (24),33%,8,16,11,13,43%,104,140,45%,117,141,TALON
Icebox (23),43%,10,13,11,12,52%,121,110,44%,112,140,TALON
Breeze (6),67%,4,2,2,4,44%,30,38,55%,41,33,TALON
