,Match_ID,date_str,Team,T1_Won,R2.0_T1,ACS_T1,K_T1,D_T1,A_T1,+/- K/D_T1,KAST_T1,ADR_T1,HS%_T1,FK_T1,FD_T1,+/- FK/FD_T1,vs Team,R2.0_T2,ACS_T2,K_T2,D_T2,A_T2,+/- K/D_T2,KAST_T2,ADR_T2,HS%_T2,FK_T2,FD_T2,+/- FK/FD_T2
489,2024-05-09_Dragon Ranger Gaming/EDward Gaming,2024-05-09,Dragon Ranger Gaming,0,0.0,181.6,23.6,32.4,9.2,-8.8,0.0,0.0,0.0,0.0,0.0,0.0,EDward Gaming,0.0,181.6,23.6,32.4,9.2,-8.8,0.0,0.0,0.0,0.0,0.0,0.0
490,2024-05-09_FNATIC/Karmine Corp,2024-05-09,FNATIC,1,1.3539999999999999,205.2,32.6,26.2,14.6,6.4,74.0,134.4,24.4,3.4,5.8,-2.4,Karmine Corp,1.3539999999999999,205.2,32.6,26.2,14.6,6.4,74.0,134.4,24.4,3.4,5.8,-2.4
491,2024-05-09_FUT Esports/Team Heretics,2024-05-09,FUT Esports,0,0.914,197.4,34.2,36.2,14.6,-2.0,67.8,132.2,24.2,4.2,6.0,-1.8,Team Heretics,0.914,197.4,34.2,36.2,14.6,-2.0,67.8,132.2,24.2,4.2,6.0,-1.8
492,2024-05-09_FunPlus Phoenix/Trace Esports,2024-05-09,FunPlus Phoenix,1,0.0,218.2,33.8,28.8,14.2,5.0,0.0,0.0,0.0,0.0,0.0,0.0,Trace Esports,0.0,218.2,33.8,28.8,14.2,5.0,0.0,0.0,0.0,0.0,0.0,0.0
493,2024-05-09_G2 Esports/KRÜ Esports,2024-05-09,G2 Esports,1,1.08,223.2,31.8,23.6,14.8,8.2,78.6,150.0,27.0,4.6,3.2,1.4,KRÜ Esports,1.08,223.2,31.8,23.6,14.8,8.2,78.6,150.0,27.0,4.6,3.2,1.4
494,2024-05-10_100 Thieves/G2 Esports,2024-05-10,100 Thieves,1,0.99,207.8,46.2,39.8,24.0,6.4,76.0,134.4,23.2,7.0,5.6,1.4,G2 Esports,0.99,207.8,46.2,39.8,24.0,6.4,76.0,134.4,23.2,7.0,5.6,1.4
495,2024-05-10_Dragon Ranger Gaming/Trace Esports,2024-05-10,Dragon Ranger Gaming,1,0.0,211.8,45.4,41.0,20.2,4.4,0.0,0.0,0.0,0.0,0.0,0.0,Trace Esports,0.0,211.8,45.4,41.0,20.2,4.4,0.0,0.0,0.0,0.0,0.0,0.0
496,2024-05-10_EDward Gaming/FunPlus Phoenix,2024-05-10,EDward Gaming,0,0.0,199.0,34.4,36.4,13.6,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,FunPlus Phoenix,0.0,199.0,34.4,36.4,13.6,-2.0,0.0,0.0,0.0,0.0,0.0,0.0
497,2024-05-10_FNATIC/Team Heretics,2024-05-10,FNATIC,0,0.748,177.0,27.6,33.8,10.6,-6.2,63.8,120.0,21.6,5.0,4.0,1.0,Team Heretics,0.748,177.0,27.6,33.8,10.6,-6.2,63.8,120.0,21.6,5.0,4.0,1.0
498,2024-05-10_FUT Esports/Karmine Corp,2024-05-10,FUT Esports,1,1.108,237.6,32.4,26.6,16.0,5.8,79.6,151.0,23.2,3.6,4.2,-0.6,Karmine Corp,1.108,237.6,32.4,26.6,16.0,5.8,79.6,151.0,23.2,3.6,4.2,-0.6
499,2024-05-10_KRÜ Esports/LEVIATÁN,2024-05-10,KRÜ Esports,0,0.908,200.6,44.4,46.4,15.6,-2.0,71.2,133.6,30.0,6.6,6.0,0.6,LEVIATÁN,0.908,200.6,44.4,46.4,15.6,-2.0,71.2,133.6,30.0,6.6,6.0,0.6
